,,Passing,,,,,,Rushing,,,,Receiving,,,,Fumbles,
Player,Bye,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
Marshawn Lynch,5,107.00,0,0,0,0,0,0,202,737,6,0,22,145,0,0,4,0
Tim Tebow,9,105.00,82,41,654,5,3,0,43,227,6,0,0,0,0,0,0,0
Mike Thomas,9,105.00,0,0,0,0,0,0,12,114,0,0,66,820,4,0,3,0
Vince Young,9,105.00,156,93,"1,255",10,3,0,25,125,0,0,0,0,0,0,4,0
Santonio Holmes,7,104.00,0,0,0,0,0,0,2,17,0,0,52,746,6,0,2,0
Michael Crabtree,9,103.00,0,0,0,0,0,0,0,0,0,0,55,741,6,0,0,0
Malcom Floyd,10,103.00,0,0,0,0,0,0,0,0,0,0,37,717,6,0,0,0
Tim Hightower,6,103.00,0,0,0,0,0,0,153,736,5,0,21,136,0,0,4,0
Davone Bess,5,102.00,0,0,0,0,0,0,2,-3,0,0,79,820,5,0,2,0
Chad Johnson,6,100.00,1,0,0,0,0,0,0,0,0,0,67,831,4,0,0,0
Anthony Armstrong,9,99.00,0,0,0,0,0,0,0,0,0,0,44,871,3,0,1,0
Derek Anderson,6,97.00,327,169,"2,065",7,10,1,5,25,0,0,0,0,0,0,3,0
Chris Cooley,9,97.00,0,0,0,0,0,0,0,0,0,0,77,849,3,1,1,0
Hines Ward,5,97.00,0,0,0,0,0,0,1,-2,0,0,59,755,5,0,1,0
Nate Washington,9,97.00,0,0,0,0,0,0,1,-8,0,0,42,687,6,0,0,0
Nate Burleson,7,96.00,0,0,0,0,0,0,7,81,0,0,55,625,6,0,2,0
Kellen Winslow,4,96.00,0,0,0,0,0,0,0,0,0,0,66,730,5,0,0,0
Colt McCoy,8,95.00,222,135,"1,576",6,9,0,28,136,1,0,1,13,0,0,0,0
Tony Gonzalez,8,94.00,0,0,0,0,0,0,0,0,0,0,70,656,6,0,0,0
Jabar Gaffney,9,93.00,0,0,0,0,0,0,0,0,0,0,65,875,2,0,0,0
Chris Ivory,10,93.00,0,0,0,0,0,0,137,716,5,0,1,17,0,0,2,0
