,,Passing,,,,,,Rushing,,,,Receiving,,,,Fumbles,
Darrius Heyward-Bey,8,115.00,0,0,0,0,0,0,0,0,0,0,64,975,4,0,1,0
Kevin Kolb,6,115.00,253,146,"1,955",9,8,0,17,65,0,0,0,0,0,0,3,0
Matt Cassel,6,113.00,269,160,"1,713",10,9,0,25,99,0,0,1,-4,0,0,2,0
Reggie Wayne,11,113.00,0,0,0,0,0,0,0,0,0,0,75,960,4,0,0,0
LeGarrette Blount,8,111.00,0,0,0,0,0,0,184,781,5,0,15,148,0,0,3,0
Brandon Jacobs,7,111.00,0,0,0,0,0,0,152,571,7,1,15,128,1,0,0,0
DeMarco Murray,5,111.00,0,0,0,0,0,0,164,897,2,0,26,183,0,0,0,0
Jeremy Maclin,7,110.00,0,0,0,0,0,0,1,1,0,0,63,859,5,0,1,0
Lance Moore,11,110.00,0,0,0,0,0,0,0,0,0,0,52,627,8,2,0,0
Santonio Holmes,8,109.00,0,0,0,0,0,0,3,27,0,0,51,654,8,0,1,0
Malcom Floyd,6,108.00,0,0,0,0,0,0,0,0,0,0,43,856,5,0,0,0
C.J. Spiller,7,108.00,0,0,0,0,0,0,107,561,4,0,39,269,2,0,0,0
Michael Crabtree,7,107.00,0,0,0,0,0,0,1,6,0,0,72,874,4,1,0,0
Roy Helu,5,107.00,0,0,0,0,0,0,151,640,2,0,49,379,1,0,2,0
Vernon Davis,7,106.00,0,0,0,0,0,0,2,-5,0,0,67,792,6,0,1,0
Brent Celek,7,105.00,0,0,0,0,0,0,0,0,0,0,62,811,5,0,0,0
Dustin Keller,8,105.00,0,0,0,0,0,0,0,0,0,0,65,815,5,0,1,0
Sam Bradford,5,103.00,357,191,"2,164",6,6,0,18,26,0,0,0,0,0,0,7,0
Eric Decker,6,103.00,1,0,0,0,0,0,1,1,0,0,44,612,8,0,1,0
Plaxico Burress,8,102.00,0,0,0,0,0,0,0,0,0,0,45,612,8,0,0,0
Anquan Boldin,5,101.00,0,0,0,0,0,0,0,0,0,0,57,887,3,0,0,0
Darren McFadden,8,101.00,0,0,0,0,0,0,113,614,4,0,19,154,1,0,1,0
Kyle Orton,6,101.00,252,150,"1,758",9,9,0,11,13,0,0,0,0,0,0,2,0
Doug Baldwin,6,99.00,0,0,0,0,0,0,1,-2,0,0,51,788,4,0,0,0
James Jones,8,99.00,0,0,0,0,0,0,0,0,0,0,38,635,7,0,0,0
Brandon Pettigrew,9,99.00,0,0,0,0,0,0,0,0,0,0,83,777,5,0,0,0
Denarius Moore,8,98.00,0,0,0,0,0,0,5,61,1,0,33,618,5,0,0,0
Miles Austin,5,97.00,0,0,0,0,0,0,2,3,0,0,43,579,7,0,0,0
Donald Brown,11,96.00,0,0,0,0,0,0,134,645,5,0,16,86,0,0,0,0
Early Doucet,6,94.00,0,0,0,0,0,0,0,0,0,0,54,689,5,0,0,0
Titus Young,9,94.00,0,0,0,0,0,0,2,15,0,0,48,607,6,1,0,0
Deion Branch,7,93.00,0,0,0,0,0,0,0,0,0,0,51,702,5,0,0,0
Nate Burleson,9,93.00,0,0,0,0,0,0,11,85,0,0,73,757,3,0,1,0
Robert Meachem,11,92.00,0,0,0,0,0,0,4,18,0,0,40,620,6,0,0,0
Fred Davis,5,91.00,0,0,0,0,0,0,0,0,0,0,59,796,3,0,1,0
Jerome Simpson,7,91.00,0,0,0,0,0,0,0,0,0,0,50,725,4,0,0,0
David Nelson,7,90.00,0,0,0,0,0,0,0,0,0,0,61,658,5,0,0,0
Kevin Smith,9,89.00,0,0,0,0,0,0,72,356,4,0,22,179,3,0,1,0
Jermaine Gresham,7,88.00,0,0,0,0,0,0,0,0,0,0,56,596,6,0,1,0
Steve Breaston,6,87.00,0,0,0,0,0,0,1,25,0,0,61,785,2,0,0,0
Jason Campbell,8,87.00,165,100,"1,170",6,4,0,18,60,2,0,0,0,0,0,1,0
Ryan Grant,8,87.00,0,0,0,0,0,0,134,559,2,0,19,268,1,0,1,0
Mike Williams,8,87.00,0,0,0,0,0,0,1,3,0,0,65,771,3,0,2,0
Jared Cook,6,85.00,0,0,0,0,0,0,0,0,0,0,49,759,3,0,2,0
Kellen Winslow,8,85.00,0,0,0,0,0,0,0,0,0,0,75,763,2,2,1,0
Toby Gerhart,9,84.00,0,0,0,0,0,0,109,531,1,0,23,190,3,0,0,0
Peyton Hillis,5,83.00,0,0,0,0,0,0,161,587,3,0,22,130,0,0,1,0
Damian Williams,6,83.00,0,0,0,0,0,0,0,0,0,0,45,592,5,0,0,0
Curtis Painter,11,82.00,243,132,"1,541",6,9,0,17,107,0,0,0,0,0,0,3,0
Dexter McCluster,6,81.00,0,0,0,0,0,0,114,516,1,0,46,328,1,0,3,0
Jahvid Best,9,80.00,0,0,0,0,0,0,84,390,2,0,27,287,1,0,0,0
Owen Daniels,11,80.00,0,0,0,0,0,0,0,0,0,0,54,677,3,0,0,0
Greg Olsen,9,80.00,0,0,0,0,0,0,0,0,0,0,45,540,5,1,1,0
Jake Ballard,7,78.00,0,0,0,0,0,0,0,0,0,0,38,604,4,0,0,0
Greg Little,5,78.00,0,0,0,0,0,0,3,15,0,0,61,709,2,0,0,0
LaDainian Tomlinson,8,78.00,0,0,0,0,0,0,75,280,1,0,42,449,2,0,0,0
Johnny Knox,8,77.00,0,0,0,0,0,0,0,0,0,0,37,727,2,0,1,0
Santana Moss,5,77.00,0,0,0,0,0,0,0,0,0,0,46,584,4,0,0,0
Mark Ingram,11,76.00,0,0,0,0,0,0,122,474,5,0,11,46,0,0,1,0
Marion Barber,8,75.00,0,0,0,0,0,0,114,422,6,0,5,50,0,0,1,0
Ed Dickson,5,75.00,0,0,0,0,0,0,0,0,0,0,54,528,5,0,0,0
Donald Driver,8,74.00,0,0,0,0,0,0,0,0,0,0,37,445,6,0,0,0
Demaryius Thomas,6,74.00,1,0,0,0,0,0,1,5,0,0,32,551,4,0,0,0
Felix Jones,5,73.00,0,0,0,0,0,0,127,575,1,0,33,221,0,0,2,0
Brandon LaFell,9,73.00,0,0,0,0,0,0,0,0,0,0,36,613,3,0,0,0
James Starks,8,72.00,0,0,0,0,0,0,133,578,1,0,29,216,0,0,1,0
Joshua Cribbs,5,71.00,0,0,0,0,0,0,7,25,0,0,41,518,4,0,1,0
Mario Manningham,7,71.00,0,0,0,0,0,0,0,0,0,0,39,523,4,0,0,0
Jackie Battle,6,70.00,0,0,0,0,0,0,149,597,2,0,9,68,0,0,0,0
Donovan McNabb,9,70.00,156,94,"1,026",4,2,0,14,59,1,0,0,0,0,0,0,0
Dezmon Briscoe,8,69.00,0,0,0,0,0,0,0,0,0,0,35,387,6,0,0,0
Scott Chandler,7,69.00,0,0,0,0,0,0,0,0,0,0,38,389,6,0,1,0
Anthony Fasano,5,69.00,0,0,0,0,0,0,0,0,0,0,32,451,5,0,0,0
Kendall Hunter,7,69.00,0,0,0,0,0,0,112,473,2,0,16,195,0,0,0,0
Dan Orlovsky,11,69.00,193,122,"1,201",6,4,0,6,5,0,0,0,0,0,0,3,0
Heath Miller,11,68.00,0,0,0,0,0,0,1,6,0,0,51,631,2,0,1,0
Tony Scheffler,9,67.00,0,0,0,0,0,0,1,5,0,0,26,347,6,1,0,0
Jason Avant,7,66.00,0,0,0,0,0,0,0,0,0,0,52,679,1,0,2,0
Andre Roberts,6,66.00,0,0,0,0,0,0,3,27,0,0,51,586,2,0,0,0
Joel Dreessen,11,65.00,0,0,0,0,0,0,0,0,0,0,28,353,6,0,0,0
Preston Parker,8,65.00,0,0,0,0,0,0,1,-3,0,0,40,554,3,0,3,0
Davone Bess,5,64.00,0,0,0,0,0,0,2,9,0,0,51,537,3,0,2,0
Chad Henne,5,64.00,112,64,868,4,4,0,15,112,1,0,0,0,0,0,0,0
Jeremy Shockey,9,64.00,0,0,0,0,0,0,0,0,0,0,37,455,4,0,1,0
Daniel Thomas,5,63.00,0,0,0,0,0,0,165,581,0,0,12,72,1,0,1,0
Isaac Redman,11,62.00,0,0,0,0,0,0,110,479,3,0,18,78,0,0,2,0
Kevin Walter,11,60.00,0,0,0,0,0,0,0,0,0,0,39,474,3,0,0,0
Michael Jenkins,9,58.00,0,0,0,0,0,0,0,0,0,0,38,466,3,0,2,0
Andre Johnson,11,58.00,0,0,0,0,0,0,1,8,0,0,33,492,2,0,0,0
Roy Williams,8,58.00,0,0,0,0,0,0,0,0,0,0,37,507,2,0,0,0
Matt Flynn,8,57.00,49,33,518,6,2,0,13,-6,1,0,0,0,0,0,1,0
Devery Henderson,11,57.00,0,0,0,0,0,0,1,9,0,0,32,503,2,0,0,0
Sidney Rice,6,57.00,1,1,55,0,0,0,2,3,0,0,32,484,2,0,0,0
Arrelious Benn,8,56.00,0,0,0,0,0,0,6,-7,0,0,30,441,3,0,0,0
Jacoby Jones,11,56.00,0,0,0,0,0,0,4,17,0,0,31,512,2,0,0,0
Maurice Morris,9,56.00,0,0,0,0,0,0,80,316,1,0,26,230,1,0,0,0
Lance Ball,6,54.00,0,0,0,0,0,0,96,402,1,0,16,148,1,0,2,0
Jake Locker,6,54.00,66,34,542,4,0,0,8,56,1,0,0,0,0,0,0,0
John Beck,5,53.00,132,80,858,2,4,1,10,43,2,0,0,0,0,0,1,0
Visanthe Shiancoe,9,53.00,0,0,0,0,0,0,0,0,0,0,36,409,3,0,0,0
Brian Hartline,5,52.00,0,0,0,0,0,0,1,9,0,0,35,549,1,0,0,0
Bernard Scott,7,52.00,1,0,0,0,0,0,112,380,3,0,13,38,0,0,0,0
Joe Webb,9,52.00,63,34,376,3,2,0,22,154,2,0,1,9,0,0,1,0
Ricky Williams,5,52.00,0,0,0,0,0,0,108,444,2,0,13,83,0,0,2,0
Danny Woodhead,7,52.00,0,0,0,0,0,0,77,351,1,2,18,157,0,0,0,0
Danario Alexander,5,51.00,0,0,0,0,0,0,0,0,0,0,26,431,2,0,0,0
Austin Collie,11,51.00,0,0,0,0,0,0,0,0,0,0,54,514,1,0,0,0
Harry Douglas,8,51.00,0,0,0,0,0,0,1,3,0,0,39,498,1,0,0,0
Ben Obomanu,6,51.00,0,0,0,0,0,0,1,13,0,0,37,436,2,0,0,0
Dennis Pitta,5,51.00,0,0,0,0,0,0,0,0,0,0,40,405,3,0,0,0
Jason Hill,9,50.00,0,0,0,0,0,0,0,0,0,0,25,367,3,0,0,0
Golden Tate,6,50.00,0,0,0,0,0,0,5,14,0,0,35,382,3,0,0,0
Kevin Boss,8,49.00,0,0,0,0,0,0,0,0,0,0,28,368,3,0,0,0
Evan Moore,5,49.00,0,0,0,0,0,0,0,0,0,0,34,324,4,0,0,0
T.J. Yates,11,49.00,134,82,949,3,3,0,14,57,0,0,0,0,0,0,3,0
Devin Aromashodu,9,48.00,0,0,0,0,0,0,0,0,0,0,26,468,1,0,0,0
Kahlil Bell,8,48.00,0,0,0,0,0,0,79,337,0,0,19,133,1,0,1,0
Kellen Davis,8,48.00,0,0,0,0,0,0,0,0,0,0,18,206,5,0,0,0
Tim Hightower,5,48.00,0,0,0,0,0,0,84,321,1,0,10,78,1,0,0,0
Joseph Addai,11,47.00,0,0,0,0,0,0,118,433,1,0,15,93,0,0,0,0
Legedu Naanee,9,47.00,1,1,27,0,0,0,0,0,0,0,44,467,1,0,0,0
Chris Ogbonnaya,5,47.00,0,0,0,0,0,0,76,340,1,0,23,165,0,0,1,0
Benjamin Watson,5,47.00,0,0,0,0,0,0,0,0,0,0,37,410,2,0,0,0
Vince Young,7,47.00,114,66,866,4,9,0,18,79,0,0,0,0,0,0,0,0
Andre Caldwell,7,46.00,0,0,0,0,0,0,0,0,0,0,37,317,3,0,0,0
Brandon Gibson,5,46.00,0,0,0,0,0,0,2,16,0,0,36,431,1,0,0,0
Marcel Reece,8,46.00,0,0,0,0,0,0,17,112,0,0,27,301,2,0,1,0
Lavelle Hawkins,6,45.00,0,0,0,0,0,0,0,0,0,0,47,470,1,0,0,0
Stevan Ridley,7,45.00,0,0,0,0,0,0,87,441,1,0,3,13,0,0,0,0
Kenny Britt,6,44.00,0,0,0,0,0,0,0,0,0,0,17,289,3,0,1,0
Mohamed Massaquoi,5,44.00,0,0,0,0,0,0,0,0,0,0,31,384,2,0,0,0
Hines Ward,11,44.00,0,0,0,0,0,0,0,0,0,0,46,381,2,0,1,0
Thomas Jones,6,43.00,0,0,0,0,0,0,153,478,0,0,5,43,0,0,0,0
John Kuhn,8,43.00,0,0,0,0,0,0,30,78,4,0,15,77,2,0,0,0
LaRod Stephens-Howling,6,43.00,0,0,0,0,0,0,43,167,0,0,13,234,2,0,0,0
Mike Thomas,9,43.00,0,0,0,0,0,0,3,11,0,0,44,415,1,0,0,0
Dallas Clark,11,42.00,0,0,0,0,0,0,0,0,0,0,34,352,2,0,1,0
Carnell Williams,5,42.00,0,0,0,0,0,0,87,361,1,0,14,93,0,0,1,0
Vincent Brown,6,41.00,0,0,0,0,0,0,0,0,0,0,19,329,2,0,0,0
Delone Carter,11,41.00,0,0,0,0,0,0,101,377,2,0,5,18,0,0,3,0
Dane Sanzenbacher,8,41.00,0,0,0,0,0,0,1,-4,0,0,27,276,3,0,0,0
Kyle Williams,7,41.00,0,0,0,0,0,0,2,32,0,0,20,241,3,0,0,0
Devin Hester,8,40.00,0,0,0,0,0,0,1,-6,0,0,26,369,1,0,0,0
Chris Ivory,11,40.00,0,0,0,0,0,0,79,374,1,0,0,0,0,0,0,0
Jeff King,6,40.00,0,0,0,0,0,0,0,0,0,0,27,271,3,0,0,0
Earl Bennett,8,39.00,0,0,0,0,0,0,0,0,0,0,24,381,1,0,1,0
Kellen Clemens,5,39.00,91,48,546,2,1,0,6,37,1,0,0,0,0,0,0,0
Marcedes Lewis,9,39.00,0,0,0,0,0,0,0,0,0,0,39,460,0,0,0,0
Donte' Stallworth,5,39.00,0,0,0,0,0,0,2,1,0,0,22,309,2,0,0,0
Charles Clay,5,38.00,0,0,0,0,0,0,0,0,0,0,16,233,3,0,0,0
Jacquizz Rodgers,8,38.00,0,0,0,0,0,0,57,205,1,0,21,188,1,0,1,0
Emmanuel Sanders,11,38.00,1,1,15,0,0,0,0,0,0,0,22,288,2,0,0,0
Daniel Fells,6,37.00,0,0,0,0,0,0,0,0,0,0,19,256,3,0,1,0
Javon Ringer,6,37.00,0,0,0,0,0,0,59,185,1,0,28,187,0,0,1,0
Kyle Rudolph,9,37.00,0,0,0,0,0,0,0,0,0,0,26,249,3,0,0,0
Evan Royster,5,36.00,0,0,0,0,0,0,56,328,0,0,9,68,0,0,0,0
Brad Smith,7,36.00,1,0,0,0,1,0,20,87,1,0,23,240,1,0,0,0
Seneca Wallace,5,36.00,107,55,567,2,2,0,7,70,0,0,1,21,0,0,1,0
Randall Cobb,8,35.00,1,0,0,0,0,0,2,5,0,0,25,375,1,0,3,0
Chaz Schilens,8,35.00,0,0,0,0,0,0,0,0,0,0,23,271,2,0,0,0
Delanie Walker,7,35.00,0,0,0,0,0,0,3,5,0,0,19,198,3,0,0,0
Riley Cooper,7,34.00,0,0,0,0,0,0,0,0,0,0,16,315,1,0,0,0
Jerricho Cotchery,11,33.00,0,0,0,0,0,0,1,3,0,0,16,237,2,0,0,0
Jacoby Ford,8,33.00,0,0,0,0,0,0,4,31,0,0,19,279,1,0,1,0
Jeremy Kerley,8,33.00,1,1,41,0,0,0,5,28,0,0,29,314,1,0,1,0
Louis Murphy,8,33.00,0,0,0,0,0,0,6,69,1,0,15,241,0,0,0,0
Earnest Graham,8,32.00,0,0,0,0,0,0,37,206,0,0,26,163,0,0,0,0
Caleb Hanie,8,32.00,102,51,613,3,9,0,13,98,0,0,0,0,0,0,0,0
Montario Hardesty,5,31.00,0,0,0,0,0,0,88,266,0,0,14,122,0,0,0,0
Todd Heap,6,31.00,0,0,0,0,0,0,0,0,0,0,24,283,1,0,0,0
James Casey,11,30.00,0,0,0,0,0,0,1,11,0,0,18,260,1,0,0,0
Kregg Lumpkin,8,30.00,0,0,0,0,0,0,31,105,0,0,41,291,0,0,0,0
Jason Snelling,8,30.00,0,0,0,0,0,0,44,151,0,0,26,179,1,0,0,0
Keiland Williams,5,30.00,0,0,0,0,0,0,58,195,2,0,8,62,0,0,1,0
Jarett Dillard,9,29.00,0,0,0,0,0,0,0,0,0,0,29,292,1,0,1,0
Chad Johnson,7,29.00,0,0,0,0,0,0,0,0,0,0,15,276,1,0,0,0
Lance Kendricks,5,28.00,0,0,0,0,0,0,1,-8,0,0,28,352,0,0,1,0
Knowshon Moreno,6,28.00,0,0,0,0,0,0,37,179,0,0,11,101,1,0,1,0
Jordan Norwood,5,28.00,0,0,0,0,0,0,0,0,0,0,23,268,1,0,0,0
Naaman Roosevelt,7,28.00,0,0,0,0,0,0,0,0,0,0,16,257,1,0,0,0
D.J. Ware,7,28.00,0,0,0,0,0,0,46,163,0,2,27,170,0,0,0,0
Matt Willis,6,28.00,0,0,0,0,0,0,0,0,0,0,18,267,1,0,0,0
Jed Collins,11,27.00,0,0,0,0,0,0,4,4,2,0,11,50,2,0,0,0
Patrick Crayton,6,27.00,0,0,0,0,0,0,0,0,0,0,23,248,1,0,0,0
Derek Hagan,7,27.00,0,0,0,0,0,0,0,0,0,0,24,252,1,0,0,0
Donald Jones,7,27.00,0,0,0,0,0,0,1,2,0,0,23,231,1,0,0,0
Josh McCown,7,27.00,55,35,414,2,4,0,12,68,0,1,0,0,0,0,0,0
Tyler Palko,6,27.00,134,80,796,2,7,0,5,15,0,0,0,0,0,0,1,0
Mike Williams,6,27.00,0,0,0,0,0,0,0,0,0,0,18,236,1,0,0,0
Jonathan Baldwin,6,26.00,0,0,0,0,0,0,0,0,0,0,21,254,1,0,0,0
Justin Forsett,6,25.00,0,0,0,0,0,0,46,145,1,0,23,128,0,0,0,0
Josh Morgan,7,25.00,0,0,0,0,0,0,0,0,0,0,15,220,1,0,0,0
Derrick Ward,11,25.00,0,0,0,0,0,0,45,154,2,0,0,0,0,0,0,0
Leon Washington,6,25.00,0,0,0,0,0,0,53,248,1,0,10,48,0,0,0,0
Kerry Collins,11,24.00,98,48,481,2,1,0,2,-1,0,0,0,0,0,0,3,0
Leonard Pope,6,24.00,0,0,0,0,0,0,0,0,0,0,24,247,1,0,0,0
Ryan Torain,5,24.00,0,0,0,0,0,0,59,200,1,0,6,23,0,0,0,0
Chastin West,8,24.00,0,0,0,0,0,0,0,0,0,0,13,163,2,0,0,0
Tashard Choice,7,23.00,0,0,0,0,0,0,57,152,1,0,19,124,0,0,2,0
Ted Ginn Jr.,7,23.00,0,0,0,0,0,0,8,68,0,0,19,220,0,0,0,0
Mewelde Moore,11,22.00,0,0,0,0,0,0,22,157,0,0,11,104,1,0,2,0
Greg Salas,5,22.00,0,0,0,0,0,0,1,8,0,0,27,264,0,0,1,0
