
Player,Bye,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
Olamide Zaccheaus,10,32.00,0,0,0,0,0,0,1,0,0,0,20,274,1,0,0,0
Julian Edelman,5,31.00,2,2,38,0,0,0,2,22,0,0,21,315,0,0,0,0
Adam Humphries,4,31.00,0,0,0,0,0,0,0,0,0,0,23,228,2,0,0,0
Andy Isabella,8,30.00,0,0,0,0,0,0,1,-6,0,0,21,224,2,0,0,0
DeSean Jackson,9,29.00,0,0,0,0,0,0,1,12,0,0,14,236,1,0,0,0
Chad Beebe,7,28.00,0,0,0,0,0,0,0,0,0,0,20,201,2,0,1,0
Chad Hansen,8,27.00,0,0,0,0,0,0,0,0,0,0,17,236,1,0,0,0
Steven Sims,8,27.00,0,0,0,0,0,0,1,18,0,0,27,265,1,0,2,0
Tyler Johnson,13,26.00,0,0,0,0,0,0,0,0,0,0,12,169,2,0,0,0
Dontrelle Inman,8,25.00,0,0,0,0,0,0,0,0,0,0,18,163,2,0,0,0
Freddie Swain,6,25.00,0,0,0,0,0,0,0,0,0,0,13,159,2,0,0,0
Deonte Harty,6,24.00,0,0,0,0,0,0,6,51,0,0,20,186,1,0,1,0
Van Jefferson,9,24.00,0,0,0,0,0,0,1,-1,0,0,19,220,1,0,0,0
Isaiah Ford,7,23.00,0,0,0,0,0,0,0,0,0,0,28,276,0,0,0,0
Mohamed Sanu,5,23.00,0,0,0,0,0,0,1,3,0,0,17,187,1,1,0,0
Bryan Edwards,6,22.00,0,0,0,0,0,0,0,0,0,0,11,193,1,0,0,0
Marcus Johnson,4,22.00,0,0,0,0,0,0,0,0,0,0,14,255,0,0,0,0
Lynn Bowden,7,21.00,2,1,32,0,0,0,9,32,0,0,28,211,0,0,0,0
Devin Duvernay,7,21.00,0,0,0,0,0,0,4,70,0,0,20,201,0,0,0,0
Byron Pringle,10,20.00,0,0,0,0,0,0,0,0,0,0,13,160,1,0,0,0
Marquez Callaway,6,19.00,0,0,0,0,0,0,0,0,0,0,21,213,0,0,0,0
Mack Hollins,7,18.00,0,0,0,0,0,0,0,0,0,0,16,176,1,0,1,0
Olabisi Johnson,7,18.00,0,0,0,0,0,0,0,0,0,0,14,189,0,1,0,0
Zay Jones,6,18.00,1,1,29,0,0,0,0,0,0,0,14,154,1,0,0,0
Kalif Raymond,4,17.00,0,0,0,0,0,0,1,-3,0,0,9,187,0,0,0,0
Kenny Stills,11,17.00,0,0,0,0,0,0,0,0,0,0,11,144,1,0,0,0
John Hightower,9,16.00,0,0,0,0,0,0,1,1,0,0,10,167,0,1,0,0
Khadarel Hodge,9,16.00,0,0,0,0,0,0,0,0,0,0,11,180,0,0,0,0
Alshon Jeffery,9,16.00,0,0,0,0,0,0,0,0,0,0,6,115,1,0,0,0
J.J. Arcega-Whiteside,9,15.00,0,0,0,0,0,0,0,0,0,0,4,85,0,1,0,1
Dez Bryant,7,15.00,0,0,0,0,0,0,0,0,0,0,6,47,2,0,0,0
Equanimeous St. Brown,5,15.00,0,0,0,0,0,0,1,7,0,0,7,117,1,0,0,0
Mike Thomas,9,15.00,0,0,0,0,0,0,1,1,0,0,13,132,1,0,1,0
Laquon Treadwell,10,15.00,0,0,0,0,0,0,0,0,0,0,6,49,2,0,0,0
Quez Watkins,9,15.00,0,0,0,0,0,0,0,0,0,0,7,106,1,0,0,0
Cameron Batson,4,14.00,0,0,0,0,0,0,4,20,0,0,12,100,1,0,0,0
Isaiah Wright,8,14.00,1,0,0,0,0,0,3,16,0,0,27,197,0,0,1,0
KeeSean Johnson,8,13.00,0,0,0,0,0,0,0,0,0,0,15,173,0,0,0,0
Brandon Powell,10,13.00,0,0,0,0,0,0,2,7,0,0,12,69,2,0,1,0
Jeff Smith,10,13.00,0,0,0,0,0,0,0,0,0,0,17,167,0,0,0,0
Noah Brown,10,12.00,0,0,0,0,0,0,1,4,0,0,14,154,0,0,0,0
Ty Montgomery,6,12.00,0,0,0,0,0,0,19,101,0,0,3,27,0,0,0,0
Gunner Olszewski,5,12.00,0,0,0,0,0,0,5,23,0,0,5,62,1,0,0,0
Dante Pettis,11,12.00,0,0,0,0,0,0,0,0,0,0,4,76,1,0,1,0
Auden Tate,9,12.00,0,0,0,0,0,0,0,0,0,0,14,150,0,0,0,0
Christian Blake,10,11.00,0,0,0,0,0,0,0,0,0,0,13,141,0,0,0,0
Chris Hogan,10,11.00,0,0,0,0,0,0,0,0,0,0,14,118,0,0,0,0
Malik Taylor,5,11.00,0,0,0,0,0,0,1,9,0,0,5,66,1,0,0,0
Ray Ray McCloud,4,10.00,0,0,0,0,0,0,4,65,0,0,20,77,0,0,1,0
DeMichael Harris,7,9.00,0,0,0,0,0,0,6,46,0,0,10,79,0,0,0,0
Lil'Jordan Humphrey,6,9.00,0,0,0,0,0,0,0,0,0,0,3,46,1,0,0,0
Jamal Agnew,5,8.00,1,0,0,0,0,0,6,33,0,0,13,89,0,0,1,0
Austin Carr,6,8.00,0,0,0,0,0,0,0,0,0,0,3,27,1,0,0,0
Jake Kumerow,11,8.00,0,0,0,0,0,0,0,0,0,0,1,22,1,0,0,0
Justin Watson,13,8.00,0,0,0,0,0,0,0,0,0,0,7,94,0,0,0,0
Javon Wims,11,8.00,0,0,0,0,0,0,1,2,0,0,6,48,1,0,0,0
C.J. Board,11,7.00,0,0,0,0,0,0,1,3,0,0,11,101,0,0,0,0
Parris Campbell,7,7.00,0,0,0,0,0,0,2,16,0,0,6,71,0,0,0,0
Alex Erickson,9,7.00,1,0,0,0,0,0,5,7,0,0,12,139,0,0,2,0
Austin Mack,11,7.00,0,0,0,0,0,0,0,0,0,0,7,91,0,0,0,0
Joe Reed,6,7.00,0,0,0,0,0,0,5,29,1,0,0,0,0,0,0,0
Ja'Marcus Bradley,9,6.00,0,0,0,0,0,0,0,0,0,0,5,60,0,0,0,0
Pharoh Cooper,13,6.00,0,0,0,0,0,0,0,0,0,0,5,73,0,0,0,0
