,,Passing,,,,,,Rushing,,,,Receiving,,,,Fumbles,
Jimmy Graham,6,139.00,0,0,0,0,0,0,0,0,0,0,85,889,10,0,2,0
Mike Wallace,5,138.00,1,0,0,0,0,0,4,16,0,0,67,862,10,0,1,0
Frank Gore,8,137.00,0,0,0,0,0,0,255,"1,106",4,0,11,111,1,0,2,0
Torrey Smith,11,137.00,0,0,0,0,0,0,0,0,0,0,49,767,11,0,0,0
A.J. Green,4,134.00,0,0,0,0,0,0,2,2,0,0,69,"1,041",6,0,2,0
Steve Smith,11,134.00,0,0,0,0,0,0,0,0,0,0,79,"1,065",6,0,1,0
Giovani Bernard,4,132.00,0,0,0,0,0,0,168,680,5,0,43,349,2,0,0,0
Austin Davis,4,131.00,284,180,"2,001",12,9,0,16,36,0,0,0,0,0,0,3,0
Brandon LaFell,10,131.00,0,0,0,0,0,0,2,13,0,0,74,953,7,0,1,0
Greg Olsen,12,131.00,0,0,0,0,0,0,0,0,0,0,84,"1,008",6,0,0,0
Anquan Boldin,8,130.00,1,0,0,0,0,0,1,4,0,0,83,"1,062",5,0,0,0
Roddy White,9,128.00,0,0,0,0,0,0,0,0,0,0,80,921,7,0,1,0
Jordan Matthews,7,127.00,0,0,0,0,0,0,0,0,0,0,67,872,8,0,0,0
Chris Ivory,11,125.00,0,0,0,0,0,0,198,821,6,0,18,123,1,0,1,0
Sammy Watkins,9,125.00,0,0,0,0,0,0,2,8,0,0,65,982,6,0,1,0
Andre Ellington,4,124.00,0,0,0,0,0,0,201,660,3,0,46,395,2,0,2,0
Carson Palmer,4,124.00,224,141,"1,626",11,3,0,8,25,0,0,0,0,0,0,1,0
Martellus Bennett,9,123.00,0,0,0,0,0,0,0,0,0,0,90,916,6,2,0,0
Julian Edelman,10,121.00,0,0,0,0,0,0,10,94,0,0,92,972,4,0,0,0
Eric Decker,11,120.00,0,0,0,0,0,0,0,0,0,0,74,962,5,0,0,0
Coby Fleener,10,118.00,0,0,0,0,0,0,0,0,0,0,51,774,8,0,0,0
Malcom Floyd,10,116.00,0,0,0,0,0,0,0,0,0,0,52,856,6,0,0,0
Julius Thomas,4,116.00,0,0,0,0,0,0,0,0,0,0,43,489,12,0,0,0
Mohamed Sanu,4,115.00,3,3,79,1,0,0,7,51,0,0,56,790,5,1,0,0
Andre Williams,8,115.00,0,0,0,0,0,0,217,721,7,0,18,130,0,0,0,0
Marques Colston,6,114.00,0,0,0,0,0,0,0,0,0,0,59,902,5,0,1,0
Brandon Marshall,9,114.00,0,0,0,0,0,0,0,0,0,0,61,721,8,0,1,0
Eddie Royal,10,114.00,0,0,0,0,0,0,3,14,0,0,62,778,7,0,1,0
Michael Floyd,4,112.00,0,0,0,0,0,0,1,2,0,0,47,841,6,0,1,0
Tre Mason,4,112.00,0,0,0,0,0,0,179,765,4,0,16,148,1,0,1,0
Steven Jackson,9,111.00,0,0,0,0,0,0,190,707,6,0,20,148,0,0,0,0
Travis Kelce,6,111.00,0,0,0,0,0,0,0,0,0,0,67,862,5,0,3,1
Jonathan Stewart,12,111.00,0,0,0,0,0,0,175,809,3,0,25,181,1,0,1,0
Ahmad Bradshaw,10,110.00,0,0,0,0,0,0,90,425,2,0,38,300,6,0,2,0
Fred Jackson,9,110.00,1,0,0,0,0,0,141,525,2,1,66,501,1,0,0,0
Kirk Cousins,10,108.00,204,126,"1,710",10,9,0,7,20,0,0,0,0,0,0,2,0
Isaiah Crowell,4,105.00,0,0,0,0,0,0,148,607,8,0,9,87,0,0,2,0
Vincent Jackson,7,105.00,0,0,0,0,0,0,0,0,0,0,70,"1,002",2,0,1,0
Delanie Walker,9,105.00,0,0,0,0,0,0,0,0,0,0,63,890,4,0,0,0
Kendall Wright,9,105.00,0,0,0,0,0,0,4,54,0,0,57,715,6,0,1,0
Mike Glennon,7,104.00,203,117,"1,417",10,6,0,10,49,0,0,0,0,0,0,0,0
Kenny Stills,6,104.00,0,0,0,0,0,0,1,-2,0,0,63,931,3,0,0,0
Greg Jennings,10,103.00,0,0,0,0,0,0,0,0,0,0,59,742,6,0,0,0
Rueben Randle,8,103.00,0,0,0,0,0,0,0,0,0,0,71,938,3,0,0,0
Terrance Williams,11,103.00,0,0,0,0,0,0,0,0,0,0,37,621,8,0,0,0
Shaun Hill,4,102.00,229,145,"1,657",8,7,0,10,10,1,0,1,0,0,0,1,0
Rashad Jennings,8,101.00,0,0,0,0,0,0,167,639,4,0,30,226,0,0,1,0
Andre Johnson,10,101.00,0,0,0,0,0,0,0,0,0,0,85,936,3,0,3,0
Drew Stanton,4,101.00,240,132,"1,711",7,5,1,25,63,0,0,0,0,0,0,0,0
Shane Vereen,10,101.00,0,0,0,0,0,0,96,391,2,0,52,447,3,0,0,0
Martavis Bryant,12,100.00,0,0,0,0,0,0,3,12,0,0,26,549,8,0,0,0
Branden Oliver,10,98.00,0,0,0,0,0,0,160,582,3,0,36,271,1,0,0,0
Allen Hurns,11,96.00,0,0,0,0,0,0,0,0,0,0,51,677,6,0,0,0
Darren Sproles,7,96.00,0,0,0,0,0,0,57,329,6,0,40,387,0,0,1,0
Charlie Whitehurst,9,96.00,185,105,"1,326",7,2,0,20,90,0,0,0,10,0,0,0,0
James Jones,5,95.00,0,0,0,0,0,0,0,0,0,0,73,666,6,0,1,0
Terrance West,4,95.00,0,0,0,0,0,0,171,673,4,0,11,64,1,0,1,0
Doug Baldwin,4,94.00,0,0,0,0,0,0,1,8,0,0,66,825,3,0,0,0
John Brown,4,94.00,0,0,0,0,0,0,3,-6,0,0,48,696,5,0,0,0
Jarvis Landry,5,94.00,0,0,0,0,0,0,2,-4,0,0,84,758,5,0,4,0
Keenan Allen,10,93.00,0,0,0,0,0,0,0,0,0,0,77,783,4,0,2,0
Robert Griffin III,10,93.00,214,147,"1,694",4,6,0,38,176,1,0,0,0,0,0,4,0
Jason Witten,11,93.00,0,0,0,0,0,0,0,0,0,0,64,703,5,0,0,0
Robert Woods,9,93.00,0,0,0,0,0,0,0,0,0,0,65,699,5,1,1,0
Knile Davis,6,91.00,0,0,0,0,0,0,134,463,6,0,16,147,1,0,2,0
Larry Donnell,8,88.00,0,0,0,0,0,0,0,0,0,0,63,623,6,0,4,0
Heath Miller,12,88.00,0,0,0,0,0,0,0,0,0,0,66,761,3,1,1,0
Michael Crabtree,8,87.00,0,0,0,0,0,0,1,4,0,0,68,698,4,0,0,0
Andrew Hawkins,4,87.00,0,0,0,0,0,0,3,15,0,0,63,824,2,0,0,0
Kenny Britt,4,86.00,0,0,0,0,0,0,2,14,0,0,48,748,3,0,0,0
Andre Holmes,5,86.00,0,0,0,0,0,0,0,0,0,0,47,693,4,0,0,0
Larry Fitzgerald,4,85.00,0,0,0,0,0,0,0,0,0,0,63,784,2,0,1,0
Pierre Garcon,10,85.00,1,0,0,0,0,0,0,0,0,0,68,752,3,0,0,0
Zach Mettenberger,9,85.00,179,107,"1,412",8,7,0,5,4,0,0,0,0,0,0,2,0
Denard Robinson,11,85.00,1,0,0,0,0,0,135,582,4,0,23,124,0,0,2,0
Chris Johnson,11,83.00,0,0,0,0,0,0,155,663,1,0,24,151,1,0,1,0
Reggie Wayne,10,83.00,0,0,0,0,0,0,0,0,0,0,64,779,2,0,1,0
Dwayne Allen,10,82.00,0,0,0,0,0,0,0,0,0,0,29,395,8,0,0,0
Trent Richardson,10,82.00,0,0,0,0,0,0,159,519,3,0,27,229,0,0,1,0
Brandin Cooks,6,80.00,0,0,0,0,0,0,7,73,1,0,53,550,3,0,0,0
Zach Ertz,7,79.00,0,0,0,0,0,0,0,0,0,0,58,702,3,0,1,0
LeGarrette Blount,10,78.00,0,0,0,0,0,0,125,547,5,0,10,54,0,0,1,0
Roy Helu,10,76.00,0,0,0,0,0,0,40,216,1,0,42,477,2,0,1,0
Jared Cook,4,75.00,0,0,0,0,0,0,1,0,0,0,52,634,3,0,0,0
Bobby Rainey,7,74.00,1,0,0,0,0,0,94,406,1,0,33,315,1,0,3,0
Alfred Blue,10,73.00,0,0,0,0,0,0,169,528,2,0,15,113,1,0,0,0
Charles Clay,5,73.00,0,0,0,0,0,0,0,0,0,0,58,605,3,0,0,0
Ronnie Hillman,4,73.00,0,0,0,0,0,0,106,434,3,0,21,139,1,0,0,0
Darren McFadden,5,72.00,1,0,0,0,0,0,155,534,2,0,36,212,0,0,1,0
Nate Washington,9,71.00,0,0,0,0,0,0,0,0,0,0,40,647,2,0,0,0
Markus Wheaton,12,71.00,0,0,0,0,0,0,4,19,0,0,53,644,2,0,0,0
Jarius Wright,10,71.00,0,0,0,0,0,0,5,71,0,0,42,588,2,0,0,0
Owen Daniels,11,70.00,0,0,0,0,0,0,0,0,0,0,48,527,4,0,0,0
Percy Harvin,11,70.00,0,0,0,0,0,0,33,202,1,0,51,483,1,0,1,0
Mychal Rivera,5,70.00,0,0,0,0,0,0,0,0,0,0,58,534,4,0,1,0
Dwayne Bowe,6,69.00,0,0,0,0,0,0,0,0,0,0,60,754,0,0,0,0
Benny Cunningham,4,69.00,0,0,0,0,0,0,66,246,3,0,45,352,1,0,2,0
Jermaine Gresham,4,69.00,0,0,0,0,0,0,0,0,0,0,62,460,5,0,0,0
Jake Locker,9,69.00,146,86,993,5,7,0,22,142,1,0,0,0,0,0,1,0
Jonas Gray,10,68.00,0,0,0,0,0,0,89,412,5,0,1,7,0,0,0,0
Pierre Thomas,6,68.00,0,0,0,0,0,0,45,222,2,0,45,378,1,0,0,0
Colt McCoy,10,67.00,128,91,"1,057",4,3,0,16,66,1,0,0,0,0,0,1,0
Bishop Sankey,9,66.00,0,0,0,0,0,0,152,569,2,0,18,133,0,0,2,0
Riley Cooper,7,65.00,0,0,0,0,0,0,0,0,0,0,55,577,3,0,1,0
E.J. Manuel,9,65.00,131,76,838,5,3,0,16,52,1,0,0,0,0,0,0,0
Allen Robinson,11,65.00,0,0,0,0,0,0,0,0,0,0,48,548,2,1,0,0
Miles Austin,4,64.00,0,0,0,0,0,0,0,0,0,0,47,568,2,0,0,0
Harry Douglas,9,64.00,0,0,0,0,0,0,0,0,0,0,51,556,2,1,0,0
Devin Hester,9,64.00,0,0,0,0,0,0,6,36,1,0,38,504,2,0,1,0
Taylor Gabriel,4,63.00,0,0,0,0,0,0,4,10,0,0,36,621,1,0,0,0
Scott Chandler,9,62.00,0,0,0,0,0,0,0,0,0,0,47,497,3,0,0,0
Justin Hunter,9,61.00,0,0,0,0,0,0,0,0,0,0,28,498,3,0,0,0
Latavius Murray,5,61.00,0,0,0,0,0,0,82,424,2,0,17,143,0,0,0,0
Cecil Shorts,11,61.00,2,2,32,1,0,0,0,0,0,0,53,557,1,0,1,0
Antone Smith,9,61.00,0,0,0,0,0,0,23,144,2,0,13,222,3,0,1,0
Ben Tate,12,61.00,0,0,0,0,0,0,119,371,4,0,9,60,0,0,0,0
Jerick McKinnon,10,60.00,0,0,0,0,0,0,113,538,0,0,27,135,0,0,0,0
Cole Beasley,11,59.00,0,0,0,0,0,0,0,0,0,0,37,420,4,0,2,0
Jerricho Cotchery,12,59.00,0,0,0,0,0,0,0,0,0,0,48,580,1,1,0,0
Chris Hogan,9,59.00,0,0,0,0,0,0,0,0,0,0,41,426,4,0,2,0
Hakeem Nicks,10,59.00,0,0,0,0,0,0,0,0,0,0,38,405,4,0,0,0
Timothy Wright,10,59.00,0,0,0,0,0,0,1,-2,0,0,26,259,6,0,0,0
Davante Adams,9,58.00,0,0,0,0,0,0,0,0,0,0,38,446,3,0,0,0
Derek Anderson,12,58.00,97,65,701,5,0,0,8,24,0,0,0,0,0,0,0,0
Doug Martin,7,58.00,0,0,0,0,0,0,134,494,2,0,13,64,0,0,0,0
Lorenzo Taliaferro,11,58.00,0,0,0,0,0,0,68,292,4,0,8,114,0,0,1,0
Reggie Bush,9,57.00,0,0,0,0,0,0,76,297,2,0,40,253,0,0,0,0
Charles Johnson,4,57.00,0,0,0,0,0,0,1,-11,0,0,31,475,2,1,0,0
Stevie Johnson,8,56.00,0,0,0,0,0,0,0,0,0,0,35,435,3,0,0,0
Donte Moncrief,10,56.00,0,0,0,0,0,0,4,17,0,0,32,444,3,0,0,0
Theo Riddick,9,55.00,0,0,0,0,0,0,20,51,0,0,34,316,4,0,0,0
Jermaine Kearse,4,54.00,1,1,17,0,0,0,2,15,0,0,38,537,1,0,0,0
Ryan Mathews,10,54.00,0,0,0,0,0,0,74,330,3,0,9,69,0,0,0,0
Brian Hartline,5,53.00,0,0,0,0,0,0,0,0,0,0,39,474,2,0,0,0
Carlos Hyde,8,53.00,0,0,0,0,0,0,83,333,4,0,12,68,0,0,1,0
Brian Quick,4,53.00,0,0,0,0,0,0,0,0,0,0,25,375,3,0,0,0
Wes Welker,4,53.00,0,0,0,0,0,0,0,0,0,0,49,464,2,0,0,0
Anthony Dixon,9,52.00,0,0,0,0,0,0,105,432,2,0,8,49,0,0,0,0
Cordarrelle Patterson,10,52.00,0,0,0,0,0,0,10,117,1,0,33,384,1,0,1,0
Jordan Cameron,4,51.00,0,0,0,0,0,0,0,0,0,0,24,424,2,0,0,0
Khiry Robinson,6,51.00,0,0,0,0,0,0,76,362,3,0,8,63,0,0,2,0
Lance Kendricks,4,50.00,0,0,0,0,0,0,0,0,0,0,27,259,5,0,0,0
James Starks,9,50.00,0,0,0,0,0,0,85,333,2,0,18,140,0,0,0,0
Robert Turbin,4,50.00,0,0,0,0,0,0,74,310,0,0,16,186,2,0,1,0
Luke Willson,4,50.00,0,0,0,0,0,0,0,0,0,0,22,362,3,0,0,0
Toby Gerhart,11,49.00,0,0,0,0,0,0,101,326,2,0,20,186,0,0,1,0
Dan Herron,10,49.00,0,0,0,0,0,0,78,351,1,0,21,173,0,0,2,0
Tavon Austin,4,48.00,0,0,0,0,0,0,36,224,2,0,31,242,0,0,0,0
Jeremy Kerley,11,48.00,1,0,0,0,0,0,4,86,0,0,38,409,1,0,0,0
Andre Roberts,10,48.00,0,0,0,0,0,0,2,21,0,0,36,453,2,0,2,0
Shonn Greene,9,47.00,0,0,0,0,0,0,94,392,2,0,1,13,0,0,1,0
Stepfan Taylor,4,47.00,0,0,0,0,0,0,63,208,1,1,11,79,3,0,0,0
Stedman Bailey,4,46.00,0,0,0,0,0,0,1,13,0,0,30,435,1,0,0,0
Louis Murphy,7,46.00,0,0,0,0,0,0,0,0,0,0,31,380,2,0,0,0
Niles Paul,10,46.00,0,0,0,0,0,0,0,0,0,0,39,507,1,0,1,0
Travis Benjamin,4,45.00,0,0,0,0,0,0,3,11,0,0,18,314,3,0,0,0
Devonta Freeman,9,45.00,0,0,0,0,0,0,65,248,1,0,30,225,1,0,1,0
Preston Parker,8,45.00,0,0,0,0,0,0,0,0,0,0,36,418,2,0,1,0
Michael Vick,11,45.00,121,64,604,3,2,0,26,153,0,0,0,0,0,0,2,0
Philly Brown,12,44.00,0,0,0,0,0,0,8,95,0,0,21,296,2,0,1,0
Josh Hill,6,44.00,0,0,0,0,0,0,0,0,0,0,14,176,5,0,0,0
Joseph Randle,11,44.00,0,0,0,0,0,0,51,343,3,0,4,23,0,0,2,0
Stevan Ridley,10,44.00,0,0,0,0,0,0,94,340,2,0,4,20,0,0,0,0
Marqise Lee,11,43.00,0,0,0,0,0,0,3,9,0,0,37,422,1,0,0,0
Bernard Pierce,11,43.00,0,0,0,0,0,0,93,366,2,0,2,13,0,0,1,0
Andrew Quarless,9,43.00,0,0,0,0,0,0,0,0,0,0,29,323,3,0,0,0
Anthony Fasano,6,42.00,0,0,0,0,0,0,0,0,0,0,25,226,4,0,0,0
Jordan Reed,10,42.00,0,0,0,0,0,0,0,0,0,0,50,465,0,0,1,0
Kamar Aiken,11,41.00,0,0,0,0,0,0,0,0,0,0,24,267,3,0,0,0
Jace Amaro,11,41.00,0,0,0,0,0,0,0,0,0,0,38,345,2,0,0,0
Zac Stacy,4,41.00,0,0,0,0,0,0,76,293,1,0,18,152,0,0,2,0
Juwan Thompson,4,41.00,0,0,0,0,0,0,54,272,3,0,4,25,0,0,0,0
Jordan Todman,11,41.00,0,0,0,0,0,0,32,186,1,0,25,198,1,0,0,0
Jeff Cumberland,11,40.00,0,0,0,0,0,0,0,0,0,0,23,247,3,0,0,0
C.J. Spiller,9,40.00,0,0,0,0,0,0,78,300,0,0,19,125,1,0,1,0
Chris Polk,7,39.00,0,0,0,0,0,0,46,172,4,0,2,16,0,0,0,0
Daniel Fells,8,38.00,0,0,0,0,0,0,0,0,0,0,16,188,4,0,1,0
Jacquizz Rodgers,9,38.00,0,0,0,0,0,0,58,217,1,0,29,173,1,0,0,0
Victor Cruz,8,37.00,0,0,0,0,0,0,0,0,0,0,23,337,1,0,0,0
Brice Butler,5,36.00,0,0,0,0,0,0,0,0,0,0,21,280,2,0,0,0
John Carlson,4,36.00,0,0,0,0,0,0,0,0,0,0,33,350,1,1,0,0
Damaris Johnson,7,36.00,0,0,0,0,0,0,5,19,0,0,31,331,1,0,0,0
Charles Sims,7,36.00,0,0,0,0,0,0,66,185,1,0,19,190,0,0,1,0
Jason Avant,6,35.00,0,0,0,0,0,0,1,1,0,0,34,353,1,0,0,0
Dion Sims,5,35.00,0,0,0,0,0,0,0,0,0,0,24,284,2,0,0,0
Darrel Young,10,35.00,0,0,0,0,0,0,9,22,3,0,11,81,2,0,0,0
Chad Henne,11,34.00,78,42,492,3,1,0,4,25,0,0,0,0,0,0,1,0
Daniel Thomas,5,34.00,0,0,0,0,0,0,44,168,2,1,13,121,0,0,1,0
Donald Brown,10,33.00,0,0,0,0,0,0,85,223,0,0,29,211,0,0,0,0
Brent Celek,7,33.00,0,0,0,0,0,0,0,0,0,0,32,340,1,0,1,0
Marcel Reece,5,33.00,0,0,0,0,0,0,21,85,0,0,37,265,1,0,1,0
Clay Harbor,11,32.00,0,0,0,0,0,0,0,0,0,0,26,289,1,0,0,0
Brandon Lloyd,8,32.00,0,0,0,0,0,0,0,0,0,0,14,294,1,0,0,0
Gavin Escobar,11,31.00,0,0,0,0,0,0,0,0,0,0,9,105,4,0,0,0
Richard Rodgers,9,31.00,0,0,0,0,0,0,0,0,0,0,20,225,2,0,0,0
Jeremy Ross,9,31.00,0,0,0,0,0,0,2,-1,0,0,24,314,1,0,2,0
Kyle Rudolph,10,31.00,0,0,0,0,0,0,0,0,0,0,24,231,2,0,0,0
Vernon Davis,8,30.00,0,0,0,0,0,0,1,4,0,0,26,245,2,0,0,0
Marcedes Lewis,11,30.00,0,0,0,0,0,0,0,0,0,0,18,206,2,0,0,0
Paul Richardson,4,30.00,0,0,0,0,0,0,0,0,0,0,29,271,1,0,0,0
Damien Williams,5,30.00,0,0,0,0,0,0,36,122,0,0,21,187,1,0,0,0
Jaron Brown,4,29.00,0,0,0,0,0,0,0,0,0,0,22,229,2,0,0,0
Dexter McCluster,9,29.00,0,0,0,0,0,0,40,131,0,0,26,197,1,0,1,0
Lance Moore,12,29.00,0,0,0,0,0,0,0,0,0,0,14,198,2,1,0,0
Austin Seferian-Jenkins,7,29.00,0,0,0,0,0,0,0,0,0,0,21,221,2,0,1,0
Levine Toilolo,9,29.00,0,0,0,0,0,0,0,0,0,0,31,238,2,0,1,0
Travaris Cadet,6,28.00,0,0,0,0,0,0,10,32,0,0,38,296,1,0,2,0
Chase Ford,10,28.00,0,0,0,0,0,0,0,0,0,0,23,258,1,0,0,0
Brandon Gibson,5,28.00,0,0,0,0,0,0,0,0,0,0,29,295,1,0,0,0
Josh Gordon,4,28.00,1,0,0,0,0,0,0,0,0,0,24,303,0,0,0,0
Leon Washington,9,28.00,0,0,0,0,0,0,13,57,0,0,22,159,2,0,1,0
Matt Cassel,10,27.00,71,41,425,3,4,0,9,18,0,0,0,0,0,0,0,0
Cooper Helfet,4,27.00,0,0,0,0,0,0,0,0,0,0,12,185,2,0,0,0
Fozzy Whittaker,4,27.00,0,0,0,0,0,0,32,145,1,0,5,60,1,0,0,0
Bryce Brown,7,26.00,0,0,0,0,0,0,36,126,0,0,16,176,0,0,1,0
Jim Dray,4,26.00,0,0,0,0,0,0,0,0,0,0,17,242,1,0,0,0
Eric Ebron,9,26.00,0,0,0,0,0,0,0,0,0,0,25,248,1,0,0,0
Derek Hagan,9,26.00,0,0,0,0,0,0,0,0,0,0,19,254,1,0,0,0
Case Keenum,10,26.00,77,45,435,2,2,0,10,35,0,0,0,0,0,0,1,0
Ricardo Lockette,4,26.00,0,0,0,0,0,0,1,2,0,0,11,195,2,0,0,0
Bruce Miller,8,26.00,0,0,0,0,0,0,6,9,0,0,18,189,2,0,1,0
Ryan Lindley,10,25.00,93,45,562,2,4,0,0,0,0,0,0,0,0,0,0,0
Montee Ball,4,24.00,0,0,0,0,0,0,55,172,1,0,9,62,0,0,1,0
Lance Dunbar,11,24.00,0,0,0,0,0,0,29,99,0,0,18,217,0,0,0,0
Bruce Ellington,8,24.00,0,0,0,0,0,0,6,28,1,0,6,62,2,0,0,0
Rhett Ellison,10,24.00,0,0,0,0,0,0,0,0,0,0,19,208,1,1,0,0
Corey Fuller,9,24.00,0,0,0,0,0,0,0,0,0,0,14,212,1,0,1,0
De'Anthony Thomas,6,24.00,0,0,0,0,0,0,14,113,1,0,23,156,0,0,0,0
Nick Toon,6,24.00,0,0,0,0,0,0,1,4,0,0,17,215,1,0,1,0
