
Player,Bye,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
Jalston Fowler,13,1.00,0,0,0,0,0,0,1,3,0,0,1,14,0,0,0,0
Bronson Hill,9,1.00,0,0,0,0,0,0,2,11,0,0,0,0,0,0,0,0
Mike James,10,1.00,0,0,0,0,0,0,4,19,0,0,4,22,0,0,0,0
Terrence Magee,5,1.00,0,0,0,0,0,0,3,12,0,0,0,0,0,0,0,0
J.D. McKissic,11,1.00,0,0,0,0,0,0,1,2,0,0,2,16,0,0,0,0
Isaiah Pead,8,1.00,0,0,0,0,0,0,8,22,0,0,1,6,0,0,0,0
Cedric Peerman,9,1.00,0,0,0,0,0,0,6,15,0,0,0,0,0,0,0,0
Khiry Robinson,11,1.00,0,0,0,0,0,0,8,22,0,0,0,0,0,0,1,0
Keith Smith,7,1.00,0,0,0,0,0,0,2,5,0,0,3,20,0,0,0,0
Lorenzo Taliaferro,8,1.00,0,0,0,0,0,0,1,0,0,0,3,10,0,0,0,0
Stepfan Taylor,9,1.00,0,0,0,0,0,0,4,12,0,0,0,0,0,0,0,0
Joe Banyard,5,0.00,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0
Joique Bell,10,0.00,0,0,0,0,0,0,3,6,0,0,1,-2,0,0,0,0
Brandon Burks,11,0.00,0,0,0,0,0,0,2,-4,0,0,0,0,0,0,0,0
Joe Kerridge,9,0.00,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Paul Lasike,9,0.00,0,0,0,0,0,0,3,8,0,0,1,3,0,0,0,0
Zach Line,6,0.00,0,0,0,0,0,0,7,15,0,0,0,0,0,0,0,0
Raheem Mostert,8,0.00,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0
Marcus Murphy,5,0.00,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0
Roosevelt Nix,8,0.00,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0
Jay Prosch,9,0.00,0,0,0,0,0,0,4,9,0,0,1,6,0,0,0,0
Chase Reynolds,8,0.00,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0
Daryl Richardson,5,0.00,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0
Stevan Ridley,11,0.00,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0
Anthony Sherman,5,0.00,0,0,0,0,0,0,0,0,0,0,4,11,0,0,0,0
Rod Smith,7,0.00,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0
Will Tukuafu,5,0.00,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
Tyler Ervin,9,-2.00,0,0,0,0,0,0,1,3,0,0,3,18,0,0,2,0
