
Player,Bye,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
Chris Moore,8,3.00,0,0,0,0,0,0,3,19,0,0,7,46,0,0,0,0
Quan Bray,10,2.00,0,0,0,0,0,0,1,7,0,0,3,36,0,0,0,0
DeAndre Smelter,8,2.00,0,0,0,0,0,0,0,0,0,0,1,23,0,0,0,0
Devin Smith,11,2.00,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,0
Devin Street,10,2.00,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,0
Griff Whalen,9,2.00,0,0,0,0,0,0,0,0,0,0,2,22,0,0,0,0
Brenton Bersin,7,1.00,0,0,0,0,0,0,0,0,0,0,2,17,0,0,0,0
Damiere Byrd,7,1.00,0,0,0,0,0,0,0,0,0,0,1,16,0,0,0,0
Percy Harvin,10,1.00,0,0,0,0,0,0,1,11,0,0,2,6,0,0,0,0
Marc Mariani,9,1.00,0,0,0,0,0,0,1,15,0,0,0,0,0,0,0,0
Dexter McCluster,13,1.00,0,0,0,0,0,0,3,2,0,0,7,36,0,0,0,0
Mike Thomas,8,1.00,0,0,0,0,0,0,0,0,0,0,3,37,0,0,1,0
Laquon Treadwell,6,1.00,0,0,0,0,0,0,0,0,0,0,1,15,0,0,0,0
Shane Wynn,5,1.00,0,0,0,0,0,0,2,5,0,0,1,19,0,0,0,0
Jared Abbrederis,4,0.00,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0
Bralon Addison,11,0.00,0,0,0,0,0,0,1,4,0,0,1,11,0,0,1,0
Jeremy Butler,11,0.00,0,0,0,0,0,0,0,0,0,0,2,11,0,0,0,0
George Farmer,5,0.00,0,0,0,0,0,0,1,1,0,0,1,4,0,0,0,0
Paul McRoberts,8,0.00,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0
Jordan Payton,13,0.00,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0
Rashad Ross,9,0.00,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0
Tony Washington,5,0.00,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0
Jakeem Grant,8,-1.00,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
Rashad Greene,5,-1.00,0,0,0,0,0,0,0,0,0,0,5,32,0,0,1,0
Devin Hester,8,-1.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Keshawn Martin,9,-1.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Kalif Raymond,11,-1.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Matt Slater,9,-1.00,0,0,0,0,0,0,1,5,0,0,0,0,0,0,1,0
