,,Passing,,,,,,Rushing,,,,Receiving,,,,Fumbles,
Player,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
Kapri Bibbs,1.00,0,0,0,0,0,0,1,2,0,0,3,13,0,0,0,0
LeGarrette Blount,1.00,0,0,0,0,0,0,11,15,0,0,0,0,0,0,0,0
Travaris Cadet,1.00,0,0,0,0,0,0,11,17,0,0,1,5,0,0,0,0
Trenton Cannon,1.00,0,0,0,0,0,0,2,16,0,0,0,0,0,0,0,0
Benny Cunningham,1.00,0,0,0,0,0,0,6,13,0,0,0,0,0,0,0,0
Chase Edmonds,1.00,0,0,0,0,0,0,6,14,0,0,2,4,0,0,0,0
Zach Ertz,1.00,0,0,0,0,0,0,0,0,0,0,3,15,0,0,0,0
Matt Flanagan,1.00,0,0,0,0,0,0,0,0,0,0,1,14,0,0,0,0
Michael Floyd,1.00,0,0,0,0,0,0,0,0,0,0,2,15,0,0,0,0
Russell Gage,1.00,0,0,0,0,0,0,0,0,0,0,2,14,0,0,0,0
Mike Gesicki,1.00,0,0,0,0,0,0,0,0,0,0,1,18,0,0,0,0
Garrett Gilbert,1.00,3,2,40,0,0,0,0,0,0,0,0,0,0,0,0,0
Xavier Grimble,1.00,0,0,0,0,0,0,0,0,0,0,1,16,0,0,0,0
Chad Henne,1.00,3,2,29,0,0,0,1,3,0,0,0,0,0,0,0,0
Carlos Hyde,1.00,0,0,0,0,0,0,10,13,0,0,2,6,0,0,0,0
Darius Jackson,1.00,0,0,0,0,0,0,6,16,0,0,0,0,0,0,0,0
Justin Jackson,1.00,0,0,0,0,0,0,6,10,0,0,0,0,0,0,0,0
Darius Jennings,1.00,0,0,0,0,0,0,0,0,0,0,3,17,0,0,0,0
Josh Johnson,1.00,27,12,91,0,1,0,3,4,0,0,0,0,0,0,0,0
Jake Kumerow,1.00,0,0,0,0,0,0,0,0,0,0,3,19,0,0,0,0
Tommylee Lewis,1.00,0,0,0,0,0,0,1,6,0,0,1,12,0,0,0,0
Zach Line,1.00,0,0,0,0,0,0,3,19,0,0,0,0,0,0,0,0
Ty Montgomery,1.00,0,0,0,0,0,0,2,13,0,0,1,9,0,0,0,0
Chris Moore,1.00,0,0,0,0,0,0,0,0,0,0,2,19,0,0,0,0
